0003|add [rbx],al
660fb20c24|lss cx,[rsp]
660fb20c2500000000|lss cx,[0x0]
660fb20e|lss cx,[rsi]
660fb20f|lss cx,[rdi]
660fb213|lss dx,[rbx]
660fb21424|lss dx,[rsp]
660fb2142500000000|lss dx,[0x0]
660fb216|lss dx,[rsi]
660fb217|lss dx,[rdi]
660fb21b|lss bx,[rbx]
660fb21c24|lss bx,[rsp]
660fb21c2500000000|lss bx,[0x0]
660fb21e|lss bx,[rsi]
660fb21f|lss bx,[rdi]
660fb223|lss sp,[rbx]
660fb22424|lss sp,[rsp]
660fb2242500000000|lss sp,[0x0]
660fb226|lss sp,[rsi]
660fb227|lss sp,[rdi]
660fb22b|lss bp,[rbx]
660fb22c24|lss bp,[rsp]
660fb22c2500000000|lss bp,[0x0]
660fb22e|lss bp,[rsi]
660fb22f|lss bp,[rdi]
660fb233|lss si,[rbx]
660fb23424|lss si,[rsp]
660fb2342500000000|lss si,[0x0]
660fb236|lss si,[rsi]
660fb237|lss si,[rdi]
660fb23b|lss di,[rbx]
660fb23c24|lss di,[rsp]
660fb23c2500000000|lss di,[0x0]
660fb23e|lss di,[rsi]
660fb23f|lss di,[rdi]
660fb24500|lss ax,[rbp]
660fb24d00|lss cx,[rbp]
660fb25500|lss dx,[rbp]
660fb25d00|lss bx,[rbp]
660fb26500|lss sp,[rbp]
660fb26d00|lss bp,[rbp]
660fb27500|lss si,[rbp]
660fb27d00|lss di,[rbp]
660fb303|btr [rbx],ax
660fb30424|btr [rsp],ax
660fb3042500000000|btr [0x0],ax
660fb306|btr [rsi],ax
660fb307|btr [rdi],ax
660fb30b|btr [rbx],cx
660fb30c24|btr [rsp],cx
660fb30c2500000000|btr [0x0],cx
660fb30e|btr [rsi],cx
660fb30f|btr [rdi],cx
660fb313|btr [rbx],dx
660fb31424|btr [rsp],dx
660fb3142500000000|btr [0x0],dx
660fb316|btr [rsi],dx
660fb317|btr [rdi],dx
660fb31b|btr [rbx],bx
660fb31c24|btr [rsp],bx
660fb31c2500000000|btr [0x0],bx
660fb31e|btr [rsi],bx
660fb31f|btr [rdi],bx
660fb323|btr [rbx],sp
660fb32424|btr [rsp],sp
660fb3242500000000|btr [0x0],sp
660fb326|btr [rsi],sp
660fb327|btr [rdi],sp
660fb32b|btr [rbx],bp
660fb32c24|btr [rsp],bp
660fb32c2500000000|btr [0x0],bp
660fb32e|btr [rsi],bp
660fb32f|btr [rdi],bp
660fb333|btr [rbx],si
660fb33424|btr [rsp],si
660fb3342500000000|btr [0x0],si
660fb336|btr [rsi],si
660fb337|btr [rdi],si
660fb33b|btr [rbx],di
660fb33c24|btr [rsp],di
660fb33c2500000000|btr [0x0],di
660fb33e|btr [rsi],di
660fb33f|btr [rdi],di
660fb34500|btr [rbp],ax
660fb34d00|btr [rbp],cx
660fb35500|btr [rbp],dx
660fb35d00|btr [rbp],bx
660fb36500|btr [rbp],sp
660fb36d00|btr [rbp],bp
660fb37500|btr [rbp],si
660fb37d00|btr [rbp],di
660fb3c0|btr ax,ax
660fb3c1|btr cx,ax
660fb3c2|btr dx,ax
660fb3c3|btr bx,ax
660fb3c4|btr sp,ax
660fb3c5|btr bp,ax
660fb3c6|btr si,ax
660fb3c7|btr di,ax
660fb3c8|btr ax,cx
660fb3c9|btr cx,cx
660fb3ca|btr dx,cx
660fb3cb|btr bx,cx
660fb3cc|btr sp,cx
660fb3cd|btr bp,cx
660fb3ce|btr si,cx
660fb3cf|btr di,cx
660fb3d0|btr ax,dx
660fb3d1|btr cx,dx
660fb3d2|btr dx,dx
660fb3d3|btr bx,dx
660fb3d4|btr sp,dx
660fb3d5|btr bp,dx
660fb3d6|btr si,dx
660fb3d7|btr di,dx
660fb3d8|btr ax,bx
660fb3d9|btr cx,bx
660fb3da|btr dx,bx
660fb3db|btr bx,bx
660fb3dc|btr sp,bx
660fb3dd|btr bp,bx
660fb3de|btr si,bx
660fb3df|btr di,bx
660fb3e0|btr ax,sp
660fb3e1|btr cx,sp
660fb3e2|btr dx,sp
660fb3e3|btr bx,sp
660fb3e4|btr sp,sp
660fb3e5|btr bp,sp
660fb3e6|btr si,sp
660fb3e7|btr di,sp
660fb3e8|btr ax,bp
660fb3e9|btr cx,bp
660fb3ea|btr dx,bp
660fb3eb|btr bx,bp
660fb3ec|btr sp,bp
660fb3ed|btr bp,bp
660fb3ee|btr si,bp
660fb3ef|btr di,bp
660fb3f0|btr ax,si
660fb3f1|btr cx,si
660fb3f2|btr dx,si
660fb3f3|btr bx,si
660fb3f4|btr sp,si
660fb3f5|btr bp,si
660fb3f6|btr si,si
660fb3f7|btr di,si
660fb3f8|btr ax,di
660fb3f9|btr cx,di
660fb3fa|btr dx,di
660fb3fb|btr bx,di
660fb3fc|btr sp,di
660fb3fd|btr bp,di
660fb3fe|btr si,di
660fb3ff|btr di,di
660fb403|lfs ax,[rbx]
660fb40424|lfs ax,[rsp]
660fb4042500000000|lfs ax,[0x0]
660fb406|lfs ax,[rsi]
660fb407|lfs ax,[rdi]
660fb40b|lfs cx,[rbx]
660fb40c24|lfs cx,[rsp]
660fb40c2500000000|lfs cx,[0x0]
660fb40e|lfs cx,[rsi]
660fb40f|lfs cx,[rdi]
660fb413|lfs dx,[rbx]
660fb41424|lfs dx,[rsp]
660fb4142500000000|lfs dx,[0x0]
660fb416|lfs dx,[rsi]
660fb417|lfs dx,[rdi]
660fb41b|lfs bx,[rbx]
660fb41c24|lfs bx,[rsp]
660fb41c2500000000|lfs bx,[0x0]
660fb41e|lfs bx,[rsi]
660fb41f|lfs bx,[rdi]
660fb423|lfs sp,[rbx]
660fb42424|lfs sp,[rsp]
660fb4242500000000|lfs sp,[0x0]
660fb426|lfs sp,[rsi]
660fb427|lfs sp,[rdi]
660fb42b|lfs bp,[rbx]
660fb42c24|lfs bp,[rsp]
660fb42c2500000000|lfs bp,[0x0]
660fb42e|lfs bp,[rsi]
660fb42f|lfs bp,[rdi]
660fb433|lfs si,[rbx]
660fb43424|lfs si,[rsp]
660fb4342500000000|lfs si,[0x0]
660fb436|lfs si,[rsi]
660fb437|lfs si,[rdi]
660fb43b|lfs di,[rbx]
660fb43c24|lfs di,[rsp]
660fb43c2500000000|lfs di,[0x0]
660fb43e|lfs di,[rsi]
660fb43f|lfs di,[rdi]
660fb44500|lfs ax,[rbp]
660fb44d00|lfs cx,[rbp]
660fb45500|lfs dx,[rbp]
660fb45d00|lfs bx,[rbp]
660fb46500|lfs sp,[rbp]
660fb46d00|lfs bp,[rbp]
660fb47500|lfs si,[rbp]
660fb47d00|lfs di,[rbp]
660fb503|lgs ax,[rbx]
660fb50424|lgs ax,[rsp]
660fb5042500000000|lgs ax,[0x0]
660fb506|lgs ax,[rsi]
660fb507|lgs ax,[rdi]
660fb50b|lgs cx,[rbx]
660fb50c24|lgs cx,[rsp]
660fb50c2500000000|lgs cx,[0x0]
660fb50e|lgs cx,[rsi]
660fb50f|lgs cx,[rdi]
660fb513|lgs dx,[rbx]
660fb51424|lgs dx,[rsp]
660fb5142500000000|lgs dx,[0x0]
660fb516|lgs dx,[rsi]
660fb517|lgs dx,[rdi]
660fb51b|lgs bx,[rbx]
660fb51c24|lgs bx,[rsp]
660fb51c2500000000|lgs bx,[0x0]
660fb51e|lgs bx,[rsi]
660fb51f|lgs bx,[rdi]
660fb523|lgs sp,[rbx]
660fb52424|lgs sp,[rsp]
660fb5242500000000|lgs sp,[0x0]
660fb526|lgs sp,[rsi]
660fb527|lgs sp,[rdi]
660fb52b|lgs bp,[rbx]
660fb52c24|lgs bp,[rsp]
660fb52c2500000000|lgs bp,[0x0]
660fb52e|lgs bp,[rsi]
660fb52f|lgs bp,[rdi]
660fb533|lgs si,[rbx]
660fb53424|lgs si,[rsp]
660fb5342500000000|lgs si,[0x0]
660fb536|lgs si,[rsi]
660fb537|lgs si,[rdi]
660fb53b|lgs di,[rbx]
660fb53c24|lgs di,[rsp]
660fb53c2500000000|lgs di,[0x0]
660fb53e|lgs di,[rsi]
660fb53f|lgs di,[rdi]
660fb54500|lgs ax,[rbp]
660fb54d00|lgs cx,[rbp]
660fb55500|lgs dx,[rbp]
660fb55d00|lgs bx,[rbp]
660fb56500|lgs sp,[rbp]
660fb56d00|lgs bp,[rbp]
660fb57500|lgs si,[rbp]
660fb57d00|lgs di,[rbp]
660fb603|movzx ax,[rbx]
660fb60424|movzx ax,[rsp]
660fb6042500000000|movzx ax,[0x0]
660fb606|movzx ax,[rsi]
660fb607|movzx ax,[rdi]
660fb60b|movzx cx,[rbx]
660fb60c24|movzx cx,[rsp]
660fb60c2500000000|movzx cx,[0x0]
660fb60e|movzx cx,[rsi]
660fb60f|movzx cx,[rdi]
660fb613|movzx dx,[rbx]
660fb61424|movzx dx,[rsp]
660fb6142500000000|movzx dx,[0x0]
660fb616|movzx dx,[rsi]
660fb617|movzx dx,[rdi]
660fb61b|movzx bx,[rbx]
660fb61c24|movzx bx,[rsp]
660fb61c2500000000|movzx bx,[0x0]
660fb61e|movzx bx,[rsi]
660fb61f|movzx bx,[rdi]
660fb623|movzx sp,[rbx]
660fb62424|movzx sp,[rsp]
660fb6242500000000|movzx sp,[0x0]
660fb626|movzx sp,[rsi]
660fb627|movzx sp,[rdi]
660fb62b|movzx bp,[rbx]
660fb62c24|movzx bp,[rsp]
660fb62c2500000000|movzx bp,[0x0]
660fb62e|movzx bp,[rsi]
660fb62f|movzx bp,[rdi]
660fb633|movzx si,[rbx]
660fb63424|movzx si,[rsp]
660fb6342500000000|movzx si,[0x0]
660fb636|movzx si,[rsi]
660fb637|movzx si,[rdi]
660fb63b|movzx di,[rbx]
660fb63c24|movzx di,[rsp]
660fb63c2500000000|movzx di,[0x0]
660fb63e|movzx di,[rsi]
660fb63f|movzx di,[rdi]
660fb64500|movzx ax,[rbp]
660fb64d00|movzx cx,[rbp]
660fb65500|movzx dx,[rbp]
660fb65d00|movzx bx,[rbp]
660fb66500|movzx sp,[rbp]
660fb66d00|movzx bp,[rbp]
660fb67500|movzx si,[rbp]
660fb67d00|movzx di,[rbp]
660fb6c0|movzx ax,al
660fb6c1|movzx ax,cl
660fb6c2|movzx ax,dl
660fb6c3|movzx ax,bl
660fb6c4|movzx ax,ah
660fb6c5|movzx ax,ch
660fb6c6|movzx ax,dh
660fb6c7|movzx ax,bh
660fb6c8|movzx cx,al
660fb6c9|movzx cx,cl
660fb6ca|movzx cx,dl
660fb6cb|movzx cx,bl
660fb6cc|movzx cx,ah
660fb6cd|movzx cx,ch
660fb6ce|movzx cx,dh
660fb6cf|movzx cx,bh
660fb6d0|movzx dx,al
660fb6d1|movzx dx,cl
660fb6d2|movzx dx,dl
660fb6d3|movzx dx,bl
660fb6d4|movzx dx,ah
660fb6d5|movzx dx,ch
660fb6d6|movzx dx,dh
660fb6d7|movzx dx,bh
660fb6d8|movzx bx,al
660fb6d9|movzx bx,cl
660fb6da|movzx bx,dl
660fb6db|movzx bx,bl
660fb6dc|movzx bx,ah
660fb6dd|movzx bx,ch
660fb6de|movzx bx,dh
660fb6df|movzx bx,bh
660fb6e0|movzx sp,al
660fb6e1|movzx sp,cl
660fb6e2|movzx sp,dl
660fb6e3|movzx sp,bl
660fb6e4|movzx sp,ah
660fb6e5|movzx sp,ch
660fb6e6|movzx sp,dh
660fb6e7|movzx sp,bh
660fb6e8|movzx bp,al
660fb6e9|movzx bp,cl
660fb6ea|movzx bp,dl
660fb6eb|movzx bp,bl
660fb6ec|movzx bp,ah
660fb6ed|movzx bp,ch
660fb6ee|movzx bp,dh
660fb6ef|movzx bp,bh
660fb6f0|movzx si,al
660fb6f1|movzx si,cl
660fb6f2|movzx si,dl
660fb6f3|movzx si,bl
660fb6f4|movzx si,ah
660fb6f5|movzx si,ch
660fb6f6|movzx si,dh
660fb6f7|movzx si,bh
660fb6f8|movzx di,al
660fb6f9|movzx di,cl
660fb6fa|movzx di,dl
660fb6fb|movzx di,bl
660fb6fc|movzx di,ah
660fb6fd|movzx di,ch
660fb6fe|movzx di,dh
660fb6ff|movzx di,bh
660fbae000|bt ax,0x0
660fbae100|bt cx,0x0
660fbae200|bt dx,0x0
660fbae300|bt bx,0x0
660fbae400|bt sp,0x0
660fbae500|bt bp,0x0
660fbae600|bt si,0x0
660fbae700|bt di,0x0
660fbae800|bts ax,0x0
660fbae900|bts cx,0x0
660fbaea00|bts dx,0x0
660fbaeb00|bts bx,0x0
660fbaec00|bts sp,0x0
660fbaed00|bts bp,0x0
660fbaee00|bts si,0x0
660fbaef00|bts di,0x0
660fbaf000|btr ax,0x0
660fbaf100|btr cx,0x0
660fbaf200|btr dx,0x0
660fbaf300|btr bx,0x0
660fbaf400|btr sp,0x0
660fbaf500|btr bp,0x0
660fbaf600|btr si,0x0
660fbaf700|btr di,0x0
660fbaf800|btc ax,0x0
660fbaf900|btc cx,0x0
660fbafa00|btc dx,0x0
660fbafb00|btc bx,0x0
660fbafc00|btc sp,0x0
660fbafd00|btc bp,0x0
660fbafe00|btc si,0x0
660fbaff00|btc di,0x0
660fbb03|btc [rbx],ax
660fbb0424|btc [rsp],ax
660fbb042500000000|btc [0x0],ax
660fbb06|btc [rsi],ax
660fbb07|btc [rdi],ax
660fbb0b|btc [rbx],cx
660fbb0c24|btc [rsp],cx
660fbb0c2500000000|btc [0x0],cx
660fbb0e|btc [rsi],cx
660fbb0f|btc [rdi],cx
660fbb13|btc [rbx],dx
660fbb1424|btc [rsp],dx
660fbb142500000000|btc [0x0],dx
660fbb16|btc [rsi],dx
660fbb17|btc [rdi],dx
660fbb1b|btc [rbx],bx
660fbb1c24|btc [rsp],bx
660fbb1c2500000000|btc [0x0],bx
660fbb1e|btc [rsi],bx
660fbb1f|btc [rdi],bx
660fbb23|btc [rbx],sp
660fbb2424|btc [rsp],sp
660fbb242500000000|btc [0x0],sp
660fbb26|btc [rsi],sp
660fbb27|btc [rdi],sp
660fbb2b|btc [rbx],bp
660fbb2c24|btc [rsp],bp
660fbb2c2500000000|btc [0x0],bp
660fbb2e|btc [rsi],bp
660fbb2f|btc [rdi],bp
660fbb33|btc [rbx],si
660fbb3424|btc [rsp],si
660fbb342500000000|btc [0x0],si
660fbb36|btc [rsi],si
660fbb37|btc [rdi],si
660fbb3b|btc [rbx],di
660fbb3c24|btc [rsp],di
660fbb3c2500000000|btc [0x0],di
660fbb3e|btc [rsi],di
660fbb3f|btc [rdi],di
660fbb4500|btc [rbp],ax
660fbb4d00|btc [rbp],cx
660fbb5500|btc [rbp],dx
660fbb5d00|btc [rbp],bx
660fbb6500|btc [rbp],sp
660fbb6d00|btc [rbp],bp
660fbb7500|btc [rbp],si
660fbb7d00|btc [rbp],di
660fbbc0|btc ax,ax
660fbbc1|btc cx,ax
660fbbc2|btc dx,ax
660fbbc3|btc bx,ax
660fbbc4|btc sp,ax
660fbbc5|btc bp,ax
660fbbc6|btc si,ax
660fbbc7|btc di,ax
660fbbc8|btc ax,cx
660fbbc9|btc cx,cx
660fbbca|btc dx,cx
660fbbcb|btc bx,cx
660fbbcc|btc sp,cx
660fbbcd|btc bp,cx
660fbbce|btc si,cx
660fbbcf|btc di,cx
660fbbd0|btc ax,dx
660fbbd1|btc cx,dx
660fbbd2|btc dx,dx
660fbbd3|btc bx,dx
660fbbd4|btc sp,dx
660fbbd5|btc bp,dx
660fbbd6|btc si,dx
660fbbd7|btc di,dx
660fbbd8|btc ax,bx
660fbbd9|btc cx,bx
660fbbda|btc dx,bx
660fbbdb|btc bx,bx
660fbbdc|btc sp,bx
660fbbdd|btc bp,bx
660fbbde|btc si,bx
660fbbdf|btc di,bx
660fbbe0|btc ax,sp
660fbbe1|btc cx,sp
660fbbe2|btc dx,sp
660fbbe3|btc bx,sp
660fbbe4|btc sp,sp
660fbbe5|btc bp,sp
660fbbe6|btc si,sp
660fbbe7|btc di,sp
660fbbe8|btc ax,bp
660fbbe9|btc cx,bp
660fbbea|btc dx,bp
660fbbeb|btc bx,bp
660fbbec|btc sp,bp
660fbbed|btc bp,bp
660fbbee|btc si,bp
660fbbef|btc di,bp
660fbbf0|btc ax,si
660fbbf1|btc cx,si
660fbbf2|btc dx,si
660fbbf3|btc bx,si
660fbbf4|btc sp,si
660fbbf5|btc bp,si
660fbbf6|btc si,si
660fbbf7|btc di,si
660fbbf8|btc ax,di
660fbbf9|btc cx,di
660fbbfa|btc dx,di
660fbbfb|btc bx,di
660fbbfc|btc sp,di
660fbbfd|btc bp,di
660fbbfe|btc si,di
660fbbff|btc di,di
660fbc03|bsf ax,[rbx]
660fbc0424|bsf ax,[rsp]
660fbc042500000000|bsf ax,[0x0]
660fbc06|bsf ax,[rsi]
660fbc07|bsf ax,[rdi]
660fbc0b|bsf cx,[rbx]
660fbc0c24|bsf cx,[rsp]
660fbc0c2500000000|bsf cx,[0x0]
660fbc0e|bsf cx,[rsi]
660fbc0f|bsf cx,[rdi]
660fbc13|bsf dx,[rbx]
660fbc1424|bsf dx,[rsp]
660fbc142500000000|bsf dx,[0x0]
660fbc16|bsf dx,[rsi]
660fbc17|bsf dx,[rdi]
660fbc1b|bsf bx,[rbx]
660fbc1c24|bsf bx,[rsp]
660fbc1c2500000000|bsf bx,[0x0]
660fbc1e|bsf bx,[rsi]
660fbc1f|bsf bx,[rdi]
660fbc23|bsf sp,[rbx]
660fbc2424|bsf sp,[rsp]
660fbc242500000000|bsf sp,[0x0]
660fbc26|bsf sp,[rsi]
660fbc27|bsf sp,[rdi]
660fbc2b|bsf bp,[rbx]
660fbc2c24|bsf bp,[rsp]
660fbc2c2500000000|bsf bp,[0x0]
660fbc2e|bsf bp,[rsi]
660fbc2f|bsf bp,[rdi]
660fbc33|bsf si,[rbx]
660fbc3424|bsf si,[rsp]
660fbc342500000000|bsf si,[0x0]
660fbc36|bsf si,[rsi]
660fbc37|bsf si,[rdi]
660fbc3b|bsf di,[rbx]
660fbc3c24|bsf di,[rsp]
660fbc3c2500000000|bsf di,[0x0]
660fbc3e|bsf di,[rsi]
660fbc3f|bsf di,[rdi]
660fbc4500|bsf ax,[rbp]
660fbc4d00|bsf cx,[rbp]
660fbc5500|bsf dx,[rbp]
660fbc5d00|bsf bx,[rbp]
660fbc6500|bsf sp,[rbp]
660fbc6d00|bsf bp,[rbp]
660fbc7500|bsf si,[rbp]
660fbc7d00|bsf di,[rbp]
660fbcc0|bsf ax,ax
660fbcc1|bsf ax,cx
660fbcc2|bsf ax,dx
660fbcc3|bsf ax,bx
660fbcc4|bsf ax,sp
660fbcc5|bsf ax,bp
660fbcc6|bsf ax,si
660fbcc7|bsf ax,di
660fbcc8|bsf cx,ax
660fbcc9|bsf cx,cx
660fbcca|bsf cx,dx
660fbccb|bsf cx,bx
660fbccc|bsf cx,sp
660fbccd|bsf cx,bp
660fbcce|bsf cx,si
660fbccf|bsf cx,di
660fbcd0|bsf dx,ax
660fbcd1|bsf dx,cx
660fbcd2|bsf dx,dx
660fbcd3|bsf dx,bx
660fbcd4|bsf dx,sp
660fbcd5|bsf dx,bp
660fbcd6|bsf dx,si
660fbcd7|bsf dx,di
660fbcd8|bsf bx,ax
660fbcd9|bsf bx,cx
660fbcda|bsf bx,dx
660fbcdb|bsf bx,bx
660fbcdc|bsf bx,sp
660fbcdd|bsf bx,bp
660fbcde|bsf bx,si
660fbcdf|bsf bx,di
660fbce0|bsf sp,ax
660fbce1|bsf sp,cx
660fbce2|bsf sp,dx
660fbce3|bsf sp,bx
660fbce4|bsf sp,sp
660fbce5|bsf sp,bp
660fbce6|bsf sp,si
660fbce7|bsf sp,di
660fbce8|bsf bp,ax
660fbce9|bsf bp,cx
660fbcea|bsf bp,dx
660fbceb|bsf bp,bx
660fbcec|bsf bp,sp
660fbced|bsf bp,bp
660fbcee|bsf bp,si
660fbcef|bsf bp,di
660fbcf0|bsf si,ax
660fbcf1|bsf si,cx
660fbcf2|bsf si,dx
660fbcf3|bsf si,bx
660fbcf4|bsf si,sp
660fbcf5|bsf si,bp
660fbcf6|bsf si,si
660fbcf7|bsf si,di
660fbcf8|bsf di,ax
660fbcf9|bsf di,cx
660fbcfa|bsf di,dx
660fbcfb|bsf di,bx
660fbcfc|bsf di,sp
660fbcfd|bsf di,bp
660fbcfe|bsf di,si
660fbcff|bsf di,di
660fc103|xadd [rbx],ax
660fc10424|xadd [rsp],ax
660fc1042500000000|xadd [0x0],ax
660fc106|xadd [rsi],ax
660fc107|xadd [rdi],ax
660fc10b|xadd [rbx],cx
660fc10c24|xadd [rsp],cx
660fc10c2500000000|xadd [0x0],cx
660fc10e|xadd [rsi],cx
660fc10f|xadd [rdi],cx
660fc113|xadd [rbx],dx
660fc11424|xadd [rsp],dx
660fc1142500000000|xadd [0x0],dx
660fc116|xadd [rsi],dx
660fc117|xadd [rdi],dx
660fc11b|xadd [rbx],bx
660fc11c24|xadd [rsp],bx
660fc11c2500000000|xadd [0x0],bx
660fc11e|xadd [rsi],bx
660fc11f|xadd [rdi],bx
660fc123|xadd [rbx],sp
660fc12424|xadd [rsp],sp
660fc1242500000000|xadd [0x0],sp
660fc126|xadd [rsi],sp
660fc127|xadd [rdi],sp
660fc12b|xadd [rbx],bp
660fc12c24|xadd [rsp],bp
660fc12c2500000000|xadd [0x0],bp
660fc12e|xadd [rsi],bp
660fc12f|xadd [rdi],bp
660fc133|xadd [rbx],si
660fc13424|xadd [rsp],si
660fc1342500000000|xadd [0x0],si
660fc136|xadd [rsi],si
660fc137|xadd [rdi],si
660fc13b|xadd [rbx],di
660fc13c24|xadd [rsp],di
660fc13c2500000000|xadd [0x0],di
660fc13e|xadd [rsi],di
660fc13f|xadd [rdi],di
660fc14500|xadd [rbp],ax
660fc14d00|xadd [rbp],cx
660fc15500|xadd [rbp],dx
660fc15d00|xadd [rbp],bx
660fc16500|xadd [rbp],sp
660fc16d00|xadd [rbp],bp
660fc17500|xadd [rbp],si
660fc17d00|xadd [rbp],di
660fc1c0|xadd ax,ax
660fc1c1|xadd cx,ax
660fc1c2|xadd dx,ax
660fc1c3|xadd bx,ax
660fc1c4|xadd sp,ax
660fc1c5|xadd bp,ax
660fc1c6|xadd si,ax
660fc1c7|xadd di,ax
660fc1c8|xadd ax,cx
660fc1c9|xadd cx,cx
660fc1ca|xadd dx,cx
660fc1cb|xadd bx,cx
660fc1cc|xadd sp,cx
660fc1cd|xadd bp,cx
660fc1ce|xadd si,cx
660fc1cf|xadd di,cx
660fc1d0|xadd ax,dx
660fc1d1|xadd cx,dx
660fc1d2|xadd dx,dx
660fc1d3|xadd bx,dx
660fc1d4|xadd sp,dx
660fc1d5|xadd bp,dx
660fc1d6|xadd si,dx
660fc1d7|xadd di,dx
660fc1d8|xadd ax,bx
660fc1d9|xadd cx,bx
660fc1da|xadd dx,bx
660fc1db|xadd bx,bx
660fc1dc|xadd sp,bx
660fc1dd|xadd bp,bx
660fc1de|xadd si,bx
660fc1df|xadd di,bx
660fc1e0|xadd ax,sp
660fc1e1|xadd cx,sp
660fc1e2|xadd dx,sp
660fc1e3|xadd bx,sp
660fc1e4|xadd sp,sp
660fc1e5|xadd bp,sp
660fc1e6|xadd si,sp
660fc1e7|xadd di,sp
660fc1e8|xadd ax,bp
660fc1e9|xadd cx,bp
660fc1ea|xadd dx,bp
660fc1eb|xadd bx,bp
660fc1ec|xadd sp,bp
660fc1ed|xadd bp,bp
660fc1ee|xadd si,bp
660fc1ef|xadd di,bp
660fc1f0|xadd ax,si
660fc1f1|xadd cx,si
660fc1f2|xadd dx,si
660fc1f3|xadd bx,si
660fc1f4|xadd sp,si
660fc1f5|xadd bp,si
660fc1f6|xadd si,si
660fc1f7|xadd di,si
660fc1f8|xadd ax,di
660fc1f9|xadd cx,di
660fc1fa|xadd dx,di
660fc1fb|xadd bx,di
660fc1fc|xadd sp,di
660fc1fd|xadd bp,di
660fc1fe|xadd si,di
660fc1ff|xadd di,di
661103|adc [rbx],ax
66110424|adc [rsp],ax
6611042500000000|adc [0x0],ax
661106|adc [rsi],ax
661107|adc [rdi],ax
66110b|adc [rbx],cx
66110c24|adc [rsp],cx
66110c2500000000|adc [0x0],cx
66110e|adc [rsi],cx
66110f|adc [rdi],cx
661113|adc [rbx],dx
66111424|adc [rsp],dx
6611142500000000|adc [0x0],dx
661116|adc [rsi],dx
661117|adc [rdi],dx
66111b|adc [rbx],bx
66111c24|adc [rsp],bx
66111c2500000000|adc [0x0],bx
66111e|adc [rsi],bx
66111f|adc [rdi],bx
661123|adc [rbx],sp
66112424|adc [rsp],sp
6611242500000000|adc [0x0],sp
661126|adc [rsi],sp
661127|adc [rdi],sp
66112b|adc [rbx],bp
66112c24|adc [rsp],bp
66112c2500000000|adc [0x0],bp
66112e|adc [rsi],bp
66112f|adc [rdi],bp
661133|adc [rbx],si
66113424|adc [rsp],si
6611342500000000|adc [0x0],si
661136|adc [rsi],si
661137|adc [rdi],si
66113b|adc [rbx],di
66113c24|adc [rsp],di
66113c2500000000|adc [0x0],di
66113e|adc [rsi],di
66113f|adc [rdi],di
66114500|adc [rbp],ax
66114d00|adc [rbp],cx
66115500|adc [rbp],dx
66115d00|adc [rbp],bx
66116500|adc [rbp],sp
66116d00|adc [rbp],bp
66117500|adc [rbp],si
66117d00|adc [rbp],di
6611c0|adc ax,ax
6611c1|adc cx,ax
6611c2|adc dx,ax
6611c3|adc bx,ax
6611c4|adc sp,ax
6611c5|adc bp,ax
6611c6|adc si,ax
6611c7|adc di,ax
6611c8|adc ax,cx
6611c9|adc cx,cx
6611ca|adc dx,cx
6611cb|adc bx,cx
6611cc|adc sp,cx
6611cd|adc bp,cx
6611ce|adc si,cx
6611cf|adc di,cx
6611d0|adc ax,dx
6611d1|adc cx,dx
6611d2|adc dx,dx
6611d3|adc bx,dx
6611d4|adc sp,dx
6611d5|adc bp,dx
6611d6|adc si,dx
6611d7|adc di,dx
6611d8|adc ax,bx
6611d9|adc cx,bx
6611da|adc dx,bx
6611db|adc bx,bx
6611dc|adc sp,bx
6611dd|adc bp,bx
6611de|adc si,bx
6611df|adc di,bx
6611e0|adc ax,sp
6611e1|adc cx,sp
6611e2|adc dx,sp
6611e3|adc bx,sp
6611e4|adc sp,sp
6611e5|adc bp,sp
6611e6|adc si,sp
6611e7|adc di,sp
6611e8|adc ax,bp
6611e9|adc cx,bp
6611ea|adc dx,bp
6611eb|adc bx,bp
6611ec|adc sp,bp
6611ed|adc bp,bp
6611ee|adc si,bp
6611ef|adc di,bp
6611f0|adc ax,si
6611f1|adc cx,si
6611f2|adc dx,si
6611f3|adc bx,si
6611f4|adc sp,si
6611f5|adc bp,si
6611f6|adc si,si
6611f7|adc di,si
6611f8|adc ax,di
6611f9|adc cx,di
6611fa|adc dx,di
6611fb|adc bx,di
6611fc|adc sp,di
6611fd|adc bp,di
6611fe|adc si,di
6611ff|adc di,di
661303|adc ax,[rbx]
66130424|adc ax,[rsp]
6613042500000000|adc ax,[0x0]
661306|adc ax,[rsi]
661307|adc ax,[rdi]
66130b|adc cx,[rbx]
66130c24|adc cx,[rsp]
66130c2500000000|adc cx,[0x0]
66130e|adc cx,[rsi]
66130f|adc cx,[rdi]
661313|adc dx,[rbx]
66131424|adc dx,[rsp]
6613142500000000|adc dx,[0x0]
661316|adc dx,[rsi]
661317|adc dx,[rdi]
66131b|adc bx,[rbx]
66131c24|adc bx,[rsp]
66131c2500000000|adc bx,[0x0]
66131e|adc bx,[rsi]
66131f|adc bx,[rdi]
661323|adc sp,[rbx]
66132424|adc sp,[rsp]
6613242500000000|adc sp,[0x0]
661326|adc sp,[rsi]
661327|adc sp,[rdi]
66132b|adc bp,[rbx]
66132c24|adc bp,[rsp]
66132c2500000000|adc bp,[0x0]
66132e|adc bp,[rsi]
66132f|adc bp,[rdi]
661333|adc si,[rbx]
66133424|adc si,[rsp]
6613342500000000|adc si,[0x0]
